E11,t_ply,LFlange_theta,RFlange_theta
1.122501992105420214e+02,1.904730320973889168e-01,-1.304137891564023155e+00,-2.026257917925507801e+00
1.102838981108784395e+02,2.027443418384555773e-01,1.218206677531815441e+00,-1.248659223053933731e+00
1.116181193622758627e+02,1.911553409451331176e-01,-5.290445057826929975e+00,-5.004919454590645245e+00
1.245421824225210088e+02,2.127711033504035010e-01,-1.045705777919363655e+01,-5.860216827330545719e+00
1.181926812986198598e+02,2.046949169114311295e-01,-1.615023958663813763e-01,4.914238663127815099e-01
1.065146959322399454e+02,1.952487345346294034e-01,-3.304776695488989446e+00,-7.815145029458089310e-01
1.097096997299478573e+02,2.187022028539860607e-01,-3.389684053703796440e+00,-1.539944377978715417e+00
1.202849286531730684e+02,2.015789704753866984e-01,-1.736185405624074418e+00,-4.522477352917415594e+00
1.144398912123362635e+02,1.956399953927321633e-01,-3.873636474465512070e+00,-2.602554475848402937e+00
1.126500099775246184e+02,1.841615178754828219e-01,6.266653799744131836e-01,-2.932527478914012775e+00
1.169431786194495402e+02,1.847272169134918651e-01,-2.894999341021134764e+00,1.376675079272624025e+01
1.156674005096843132e+02,2.006778838637694184e-01,6.096339565980958497e+00,-3.034151622507101465e+00
1.234021825849047502e+02,2.081063783875109763e-01,4.747402709886487493e+00,1.656835902411259331e+00
1.213358140498839077e+02,1.941698492147847510e-01,1.819737803616264804e+00,1.988271438590102358e+00
1.154294436975830394e+02,1.972128258008757906e-01,-2.442236886070523028e+00,5.762542983003109853e+00
1.161345079929254638e+02,1.821693804277597639e-01,4.875054499740054670e-01,3.914728246215340324e+00
1.186408833291011860e+02,1.883560908857156713e-01,-2.343668276679442553e+00,-1.011075503468288161e+01
1.290817027411609388e+02,1.965600820528916604e-01,2.552031093226961200e+00,-6.971691629053838213e+00
1.298956696086040381e+02,2.022226061605080227e-01,7.103395780214158073e+00,2.353511922578176430e-01
1.086976711058431988e+02,2.000850787571298028e-01,2.383056182717360638e+00,4.460374357461258654e+00
1.074291291983916494e+02,2.059434301994675365e-01,-2.670462845307212674e-01,5.116403861698675115e+00
1.106351389413861028e+02,1.755868222935578205e-01,-4.376580822093456113e+00,-2.145144764862086717e+00
1.167626114534743778e+02,1.917000993569605016e-01,-4.703974971426866603e+00,-5.406548741259633140e+00
1.237674461010626175e+02,1.981753100083006869e-01,5.686758783648009796e+00,-4.020390757875794918e+00
1.140207419465328940e+02,1.931670151411089553e-01,1.302433768476804365e+00,-2.986518875345539614e-01
1.079676859662678226e+02,1.990506127024643246e-01,1.541942531402526184e-01,2.524800906360603392e+00
1.226459455865329176e+02,2.038131462244315295e-01,4.286914851047240127e+00,-1.576698040321322658e+00
1.263832661243520334e+02,1.812214270963652396e-01,8.438297416294595621e+00,3.087641802305384875e+00
1.131181998124613415e+02,1.925914276339654452e-01,-1.205126897899750027e+00,1.102970930815935002e+00
1.217172582426021137e+02,1.886458624828216413e-01,-7.727568243314359542e+00,1.460325172760339685e+00
1.112291383896548354e+02,1.995017500669875321e-01,3.532206106535813461e+00,-4.819030419605759008e-02
1.043957338426789079e+02,1.858689480855121590e-01,3.189300853966638538e+00,3.370305393588577392e+00
1.197948571045718182e+02,2.100562617460218495e-01,2.925290736602883968e+00,-6.010971089810583923e-01
1.195504134399951397e+02,1.894213496193312141e-01,3.772540603480679877e+00,7.000188316953552814e-01
1.189912611166500369e+02,1.973066275299557026e-01,9.303808135646136623e-01,2.722675567734900604e+00
1.030422051820699920e+02,1.780636652840351386e-01,1.578290932526277723e+00,2.299794649243699585e+00
9.659450723836914676e+01,2.105737009478417521e-01,-7.295455440449892803e-01,6.964136435966893579e+00
1.137474165783749385e+02,1.940898976070010995e-01,-9.185137517089122516e-01,9.676861505865157476e-01
1.174681028129352001e+02,1.874455802506152791e-01,-1.891622185851286941e+00,5.506612002000204953e+00
1.151617582330991070e+02,2.067002335786461698e-01,-6.392141891219139893e+00,-3.530676920191519130e+00
