E11,t_ply,LFlange_theta,RFlange_theta
1.244444694892582817e+02,1.968104026267371853e-01,6.156983986598971725e+00,7.285384537600165800e+00
1.078710740276369506e+02,2.108061791403578467e-01,3.124941969854170498e+00,-1.406750622606470102e+00
1.157837429106194662e+02,1.891819444123204741e-01,-3.590344934710660407e+00,1.285656423634796708e+00
1.117417871630078992e+02,2.043934453096625248e-01,-4.454035506855960946e+00,7.469263812762912957e-01
1.208655484442128198e+02,2.154574958131149631e-01,-7.399764486405987718e+00,-4.653627141555675806e+00
1.235158606466762024e+02,1.955680848213415257e-01,1.617754835734988461e+00,3.871131793202331917e+00
1.093467800402423222e+02,2.038148779824962842e-01,-1.659127972816748731e+00,3.008009221508231690e+00
1.139554333598233029e+02,2.068196265982066018e-01,1.398947100924244014e+00,-6.012161529455562814e+00
1.196360430893834490e+02,1.939182269416265536e-01,5.224105664886147693e+00,-1.829449162076053570e+00
1.205879415278051283e+02,1.986897902421309037e-01,-2.078070099818067451e+00,6.525228655963633884e+00
1.101480135576245942e+02,1.735761283061942606e-01,-5.097066564616891782e+00,2.623609598808828380e+00
1.137857363154315919e+02,1.999768509041690012e-01,-7.983613474004156441e-01,-1.248224061937004414e+01
1.075073009497677390e+02,1.962599265466627718e-01,3.682871033511040171e+00,-1.681843401372568714e+00
1.281494365978528549e+02,1.862809686375709595e-01,-3.138849762831585899e+00,-7.287966398232482712e-01
1.181003253106988069e+02,1.931417951512602871e-01,5.480128304676558093e-01,4.163084391691498909e-01
1.222384493442878721e+02,2.053191642901523728e-01,-2.027636011093930934e-01,-7.020051276536106499e+00
1.174837868222861914e+02,1.913478988472331888e-01,6.924851157663033163e+00,-3.604861525919435650e+00
1.152607759797155325e+02,1.984097338072937644e-01,-5.253738526303465051e+00,-2.180381263889069388e+00
9.875193026400970098e+01,1.948767887167608959e-01,-3.778297746968853232e+00,8.409402097212488769e+00
1.149994819405757767e+02,1.883910370703436588e-01,-2.142642650972122809e+00,-3.355767005536096637e+00
1.086038473857186801e+02,2.011707725465011198e-01,1.889426534426613458e+00,3.605325983370956333e+00
1.245504252442921995e+02,1.771629857575206524e-01,-2.867176641386722125e+00,-2.562397673693190381e+00
1.113011155621714607e+02,1.868964323661334026e-01,-4.990648723131754227e-01,-1.065137345595865481e+00
1.132908148174927589e+02,1.902814038494297644e-01,4.799072467501598327e-01,-2.828839974728767914e-01
1.187585381704201950e+02,1.997104762115128052e-01,-6.603899073156093147e-01,4.982677454295780101e-02
1.161961885514231767e+02,1.848402971283995277e-01,2.265237115730413198e+00,-5.615608286492637546e+00
1.258501477995962574e+02,1.813502965674894940e-01,2.407998427590286594e-01,5.433514572660586239e+00
1.104221612601130005e+02,1.900818802760070036e-01,2.559051935863549510e+00,-2.878793352097874347e+00
1.125873895723647991e+02,2.006135484749003162e-01,1.092383540315639445e+00,3.272010706699030713e+00
1.120718752323424923e+02,1.977244666210812019e-01,-6.494581485001700294e+00,-1.010874063906296721e-01
1.055125670311830532e+02,2.023045067594305413e-01,2.815171321486720224e+00,-4.379873448818639048e+00
1.217889456569689628e+02,1.943516350473733778e-01,-1.244194856869919708e+00,2.180136963388892735e+00
1.200508712000462026e+02,1.926272131690472122e-01,4.615148150245833136e+00,4.310376864166633126e+00
1.028004643299396861e+02,1.920288013733270072e-01,7.853662673033032782e-01,2.015738984680037316e+00
1.170289020525169121e+02,2.028274576657481398e-01,-2.612277912457191764e+00,1.667897508913683824e+00
1.166548695708801517e+02,2.131003980509104667e-01,3.957283795104262314e+00,9.652097035297442229e-01
1.327943255055110683e+02,2.074691189147911397e-01,-1.308744036307736947e+00,4.991934777780461019e+00
1.061608099353373404e+02,1.838908011446946655e-01,8.153197423590455628e+00,-3.831113448038621971e+00
1.145426384858280215e+02,1.833326162825965056e-01,4.446776617173462398e+00,1.237437975466088691e+00
1.185635202347825441e+02,2.100947195200254247e-01,-1.100484576117892033e+01,-9.906072577243141275e-01
