E11,t_ply,K
1.038884153407635438e+02,2.182905237547788646e-01,2.231204174755626009e+05
1.207473427098214955e+02,2.033037022409062977e-01,3.252024241394421458e+07
1.152565385073156961e+02,2.155220180289144083e-01,9.800690421047489508e+03
1.266391857381290151e+02,2.052403506400665156e-01,2.299905827582355589e+07
1.247821460921453820e+02,2.096394605277427936e-01,2.434639752711615529e+03
1.217479809362627634e+02,2.043058147030748506e-01,3.439483765818575863e+06
1.173033112590050280e+02,1.778249642915728790e-01,6.156463096055205824e+03
1.224111783354944691e+02,1.959917944856138516e-01,4.222730804733745754e+05
1.204291043818062406e+02,1.884117267974796395e-01,2.950218795972029213e+06
1.018215497660389275e+02,2.066589520309141392e-01,3.576332986812220812e+08
1.158602060257584156e+02,1.917968282136325031e-01,4.267326530198109253e+02
1.189188628951402791e+02,2.019512444127917472e-01,1.605192668497898243e+07
1.143780980115603541e+02,2.076725766543525142e-01,5.510791485719017510e+04
1.213238039842636482e+02,1.891735791440540826e-01,7.386185941585131332e+03
1.310695550461668972e+02,1.851650929719408367e-01,6.891787031834988738e+04
1.069133688405648854e+02,1.887879545564622452e-01,9.267667397212223709e+07
1.236874942341141264e+02,2.001956610677913251e-01,1.772397718110271398e+02
1.175569187780691607e+02,1.937487892786024790e-01,3.120367321961238758e+03
1.197706558688536802e+02,1.745241471514522025e-01,2.934861243519471027e+05
1.238200842755921798e+02,1.932116877232676888e-01,2.953505198723447029e+04
1.052536387129617879e+02,1.947044773415515517e-01,1.643458389658959732e+03
1.254769815954417709e+02,1.975636213960738907e-01,3.131979271268303933e+02
1.183535973957002199e+02,2.014207519270618807e-01,7.928556731192369480e+05
1.077873813925415760e+02,1.964417406696153667e-01,5.567966109264779107e+02
9.992088630961818296e+01,1.952939437390297517e-01,5.998156446034647524e+05
1.145692127807827205e+02,1.922985161482951566e-01,2.105658410542668264e+02
1.169491141750731202e+02,1.857167876096150749e-01,5.754894122023338079e+07
1.081076100637682487e+02,1.905135258099095730e-01,2.021197699351021051e+08
1.287908469704892411e+02,1.900921479341755038e-01,4.130190561398814680e+03
1.134401712534348974e+02,1.940458358564349506e-01,1.388192540621019543e+04
1.160359573247964420e+02,1.928849979810107473e-01,9.567402470278977944e+02
1.140490443682537318e+02,1.874744662835519660e-01,4.459643675833459944e+07
1.123261016912195487e+02,1.968253113246542230e-01,1.032355737028441069e+02
1.087638675103199262e+02,1.818070557499887330e-01,2.015622738899710748e+04
1.118110173370828591e+02,1.988750266976522796e-01,1.196962665189806074e+08
1.103834699847907785e+02,1.798855514618005191e-01,6.228925302047742531e+06
1.130307075619811030e+02,1.981168816224807006e-01,1.796171836110921204e+08
1.096383806094245301e+02,1.912801065218721619e-01,1.634589685916267801e+06
1.111918674111592793e+02,1.865823286586078267e-01,8.649019123057156801e+06
1.137790172312273995e+02,1.972277054706851329e-01,1.383509865651488863e+07
1.124198677419934995e+02,2.109517542652911137e-01,4.306225460914934985e+06
1.098240428027281297e+02,2.027238518545618207e-01,1.019308485176513554e+06
1.063455602214626623e+02,2.009041259606754171e-01,1.612062788578102191e+05
1.149685178337042259e+02,1.991039380535316594e-01,5.654917640834550858e+08
1.192384201844127460e+02,2.036535886424634956e-01,8.397955978684654236e+08
1.163809686579469513e+02,1.826827938424616937e-01,4.212576541105533242e+08
1.111125938177946892e+02,1.999033929714646718e-01,1.386473361113547813e+06
1.226734860813035652e+02,2.059793686906998267e-01,4.082666485196816211e+04
1.177465214746510327e+02,1.840070426554035743e-01,8.968919047291169591e+02
1.185495683355148486e+02,2.123879597437633437e-01,1.138231239332391560e+05
