E11, t_ply, K
1.147959746740078657e+02,1.985497198443999523e-01,1.588013780257351231e+06
1.108786969651351626e+02,2.091535324068535540e-01,2.578930254269829220e+03
1.096865452232831473e+02,1.980164857548236124e-01,7.639322924906462140e+04
1.173431259669630435e+02,1.880346758767122706e-01,3.475549111284043192e+03
1.235095916673869283e+02,1.970292259074795382e-01,1.509960968544335628e+05
1.144453914295837507e+02,2.007341180036456285e-01,6.578850661839206703e+06
1.166506868397021606e+02,1.930643822100348850e-01,6.511694901394262160e+03
1.213063340111926038e+02,1.875623717681280389e-01,4.750469049665367347e+05
1.045589968660398625e+02,2.139966477087987262e-01,2.839508958272403447e+02
1.190732662890420670e+02,1.992000327319543573e-01,1.840645575963829469e+04
1.141772492413576572e+02,1.969764765035111886e-01,8.687032136387060164e+05
1.099914361380340324e+02,2.193606680634136163e-01,2.947497719427173142e+05
1.193322991074176684e+02,1.963153751549374104e-01,5.034931980192915034e+03
1.175248901186803181e+02,1.958222561098987846e-01,1.755331326770073501e+05
1.243257274279781939e+02,1.916782646733775075e-01,6.156391697706525883e+04
1.150600332614524177e+02,2.080870273994738229e-01,3.861548204838140868e+06
1.273223698626200218e+02,1.836169013283401319e-01,2.133649979782470109e+04
1.117165615872876145e+02,1.885312576432902620e-01,4.250563240141635470e+04
1.089034031380240890e+02,1.935989278493957244e-01,3.306280061996101722e+04
1.184153722856911770e+02,1.999274674991984024e-01,1.046690695972042158e+06
1.197439555001141827e+02,2.003808799156712173e-01,2.590463686916697770e+05
1.072063760224755100e+02,2.108473322960396079e-01,3.993690000533440980e+03
1.114481944006365950e+02,1.899282611456917513e-01,1.103638411069104041e+04
1.252617605014705475e+02,2.020962547977261936e-01,2.355580551308177746e+04
1.160251156420662539e+02,1.912206172927860548e-01,2.761441441828853931e+04
1.135171921123898642e+02,1.862568359818586594e-01,5.111556129723553895e+05
1.225211809331435688e+02,1.906789021596154154e-01,3.463261252532680519e+05
1.057383746668151332e+02,2.049423115264156492e-01,3.545347503766148817e+06
1.261824068212825125e+02,2.030976427973837928e-01,1.134511771863172471e+05
1.165471532670211019e+02,1.975649211077314116e-01,2.395146281800359488e+06
1.023896641820293070e+02,1.860403064824733832e-01,3.050027622241130471e+07
1.331063255745256413e+02,1.803736657265338494e-01,1.998765400510554400e+03
1.131216326536345491e+02,2.025190569498070137e-01,5.408988528318714089e+02
1.128141812478037593e+02,1.926982623221668023e-01,1.043782511863949730e+04
1.121517404901581898e+02,2.063492735539627088e-01,1.397657755227713380e+06
1.154829077510824789e+02,1.850428478525722731e-01,4.389565349006043107e+04
1.219456421897569953e+02,1.944863619590584125e-01,1.325102692956042290e+07
1.204506562127854608e+02,1.920217967917993984e-01,8.425686715275646746e+07
1.105617964550976069e+02,2.015799488519468552e-01,5.944896568885765120e+00
1.084298243090466514e+02,1.948255908219921062e-01,5.307344909893441945e+04
1.077096150471353013e+02,1.891016741129574741e-01,1.373125748049825461e+03
1.126331145919262013e+02,1.823575311805262222e-01,2.218452921050571022e+05
1.178153822516238733e+02,1.819106917831565251e-01,7.103633194423099440e+02
1.222712254211527068e+02,1.953241009649817062e-01,6.816674435578673147e+05
1.207232021764541798e+02,1.754415363449877974e-01,9.985506032862082293e+02
1.060518705169867530e+02,2.050232259858959516e-01,1.452463449663360393e+02
1.186813081818576734e+02,2.068190783058935223e-01,1.519171410916530112e+04
1.297991398658510604e+02,2.117208525999504376e-01,7.929854984324146244e+03
1.158769234753514041e+02,1.771122578484559396e-01,1.342779381673226599e+05
9.654014553535844811e+01,2.037249125753459456e-01,8.605940018169021641e+04
