E11,E22,nu12,nu23,G12,t_ply
1.237447175012721914e+02,1.047220673260699186e+01,2.895121827635399048e-01,5.812431942528112350e-01,4.948906283556556041e+00,1.970254467940278087e-01
1.132043001074331698e+02,1.025302811351664367e+01,3.661514410136401665e-01,6.801379643803567854e-01,4.854129706587471560e+00,2.019653741994057727e-01
1.181151200531956960e+02,8.871730106025118801e+00,2.729250400496001649e-01,4.877323043200180175e-01,4.571362603599071761e+00,1.945129881447714981e-01
1.011372440018368621e+02,8.806067973712988106e+00,3.876579643192827884e-01,4.657634478869248640e-01,4.870638964202409937e+00,1.802868020686475836e-01
1.121520521491619178e+02,9.731507227867471244e+00,3.158201611217908433e-01,5.354841661186032775e-01,4.684901947141781875e+00,1.888394282175599459e-01
1.114269958388227906e+02,8.938645885105986011e+00,3.736024665543490331e-01,4.418533195108501066e-01,4.345611487866572809e+00,1.833399574009240141e-01
1.295247188458646974e+02,8.509192941645229880e+00,2.582120417895449327e-01,6.015516493547620192e-01,5.078567897607348058e+00,1.920360995315222030e-01
1.083290895765449875e+02,9.579171668558901231e+00,3.308529010493324041e-01,5.385135205544271386e-01,4.603865972971439291e+00,1.812931638174612448e-01
1.326381898603953573e+02,8.896063639675888979e+00,3.226233465795106392e-01,5.033900352131586153e-01,4.254582942689152603e+00,1.967562094512329551e-01
1.137034642237326523e+02,8.987678000894632646e+00,3.611061387345039786e-01,5.146515386682756210e-01,5.158554125371020760e+00,1.949164129095863895e-01
1.158760714955599411e+02,9.619529957223059924e+00,2.285568630567291759e-01,4.957032108378797708e-01,4.767105082065768329e+00,1.977370202760913298e-01
1.112540713350769437e+02,9.208157497199911390e+00,3.464296554999111710e-01,4.601317321524208137e-01,4.968689770276967899e+00,2.088197965958600855e-01
1.267603603758924322e+02,8.459084993293675581e+00,4.090072189021140003e-01,5.058002520571776017e-01,5.094567742587066128e+00,1.752030428223695646e-01
1.183355584700754974e+02,9.751715336909603238e+00,3.334088640175683627e-01,4.894713008267452259e-01,4.838684909710761595e+00,2.085389750964488365e-01
1.218561404235953916e+02,9.484855375697652136e+00,2.862257549410516799e-01,4.312075751042694360e-01,4.732351809540646492e+00,2.037616030492500896e-01
1.127817595800335084e+02,9.924886356634727846e+00,3.747120936272056446e-01,4.502604653478115004e-01,4.726275698958020577e+00,1.795152067795048323e-01
1.140025921402542224e+02,9.301972354296717427e+00,3.502710615665674543e-01,4.359486328608722094e-01,4.665607224649494178e+00,1.939398402015580780e-01
1.070464637238177659e+02,7.736420111885806250e+00,3.188153880939708085e-01,4.456278732553534128e-01,4.751418698526277851e+00,1.852409631745294272e-01
1.101519348386153894e+02,8.972485786218614479e+00,3.545300516437348559e-01,4.403223440862226168e-01,4.517390168836739939e+00,2.150259905570122698e-01
1.222533171559211667e+02,9.688478013138270839e+00,3.357449555286985965e-01,4.821223352385457517e-01,5.237090217393895131e+00,2.126545040428140521e-01
1.186775971759884811e+02,9.255472580064981969e+00,3.099379995305474589e-01,5.703953618813837334e-01,4.597137199558801512e+00,1.871509973795869586e-01
1.052885032884690162e+02,9.167498475751193254e+00,4.099049755469597045e-01,4.269065355140517215e-01,5.051290405284161622e+00,1.878071445750951751e-01
1.169882434773061561e+02,9.834693212667410478e+00,3.088835865002861336e-01,4.186694853631494073e-01,4.880033049803848222e+00,1.986013758200329271e-01
1.172700553030101105e+02,8.091555444576913558e+00,3.470657182556942111e-01,5.541688228734633626e-01,5.001928710128968447e+00,2.004300256258068624e-01
9.891833327375593399e+01,9.399285386821905064e+00,3.264528393397007067e-01,4.582808847076026426e-01,5.362149951071851106e+00,1.912912747562321436e-01
1.225261755018200915e+02,8.581783026078548815e+00,2.963744411192001382e-01,5.577980770206768524e-01,4.924558902461397381e+00,2.016090196380727062e-01
1.093894366005807228e+02,9.674107116750567670e+00,3.429956129457331082e-01,5.456663717825982474e-01,4.952457588260162247e+00,2.021344168972368238e-01
1.148711633508031156e+02,1.034543901533741561e+01,2.938012869574749830e-01,4.257248774463515684e-01,5.145569892140958501e+00,2.071508064676034488e-01
1.142729653551184725e+02,9.192675581469037738e+00,3.510083082374678698e-01,4.680736749377584216e-01,4.827615470928648733e+00,1.960866687507338280e-01
1.250035074780346918e+02,8.564417897519797762e+00,2.902704097084694013e-01,5.086410937356785622e-01,4.094495729376866677e+00,2.061441508712929249e-01
1.256346887836221242e+02,9.051268245834922510e+00,3.577820257952005756e-01,4.793150124398554146e-01,4.453654811227591104e+00,1.864157162049936700e-01
1.213520201038281670e+02,9.137852186237740426e+00,3.290960257087559016e-01,5.265368012900486505e-01,5.019292400494760109e+00,1.997638030920514396e-01
1.192948612094431411e+02,9.588608109038521121e+00,3.999685946867154729e-01,4.727562712393113542e-01,4.778909804411052953e+00,2.100361899967417012e-01
1.277214788179782659e+02,9.026780319320081958e+00,3.074974715746202625e-01,5.164412557753322863e-01,4.366196233120614778e+00,1.992248732378163745e-01
1.161855835543444613e+02,9.084168492305883191e+00,3.329684354724495310e-01,5.237062509714780489e-01,4.701432752166862628e+00,2.068401154569448064e-01
1.166231682121645008e+02,9.474229106991884919e+00,4.283671822844780097e-01,4.000297445901330184e-01,5.053881963909140573e+00,1.850325925279302508e-01
1.145474539898765585e+02,8.672591429279288278e+00,2.789590244832105270e-01,4.989853898286458755e-01,5.202889903622761381e+00,1.937145944610109694e-01
1.190603080730621315e+02,8.787186176724937070e+00,3.777624275592482705e-01,4.846113314084846135e-01,5.584497868415451372e+00,2.028620627562350287e-01
1.106011205037721510e+02,8.396878325877860760e+00,3.378969049188568219e-01,5.424933850866302532e-01,5.179917264010425626e+00,2.108789023332059420e-01
1.228393985351902842e+02,9.432774507518869811e+00,2.619633093248636690e-01,5.490893943067725047e-01,4.792557386938534947e+00,1.984814649241338214e-01
1.103376515717242654e+02,9.532316159009338818e+00,3.246638515574958861e-01,3.137224901623444917e-01,4.534240608125895022e+00,2.044440468474416350e-01
1.085990027569624345e+02,9.265427437358281892e+00,3.281379757881542347e-01,4.123139343252288924e-01,4.811594330179866930e+00,1.998933920509663731e-01
1.119342197001050891e+02,8.759642427965081524e+00,3.449172450501091780e-01,4.698781799787495328e-01,4.396162769564930350e+00,1.896699864489682086e-01
1.243260682648860751e+02,8.275216635282108157e+00,3.136817314905523402e-01,4.749189086873970567e-01,4.464949118445028731e+00,1.902361265314113925e-01
1.065655958434758332e+02,9.309889059928005750e+00,3.638980059697752845e-01,4.628566592137582925e-01,4.651776096959595819e+00,1.957170284182310205e-01
1.204066107821068243e+02,9.897226324204847714e+00,3.416157990724513205e-01,4.096136206197971696e-01,5.294392632470261262e+00,2.184050312016948825e-01
1.160886254914274076e+02,9.427236577536106665e+00,3.027539090626367724e-01,3.720392979486086826e-01,4.484868553606028208e+00,1.954262822703249636e-01
1.133649702962252093e+02,9.023761489897161425e+00,3.707643251567193099e-01,5.313700418690852079e-01,4.984746756025381309e+00,1.928300170077558440e-01
1.074840345925802296e+02,1.012771854469814770e+01,3.820448539304188151e-01,4.529981828307887981e-01,5.113222686647366899e+00,1.874067130188376007e-01
1.202515591518289284e+02,9.224690827498241319e+00,3.862114809934173443e-01,5.229844489675146146e-01,4.695453999333602191e+00,1.891528962274002523e-01
1.125325984003535211e+02,9.117329896855547844e+00,3.138650399429290805e-01,5.637145425866749715e-01,4.761640636057265397e+00,1.745655521432435964e-01
1.090368481684106001e+02,1.000958338324985064e+01,3.691764108032232206e-01,5.197026582388046823e-01,4.560552236778223190e+00,1.840483296945146507e-01
1.176292694146422804e+02,9.522939861043612453e+00,3.915577419005640269e-01,5.004078130104170352e-01,4.642735810023954635e+00,1.923117934191388156e-01
1.049251367932910171e+02,9.793510908983401819e+00,3.203817806629526976e-01,3.983108355210285834e-01,5.322427236728148436e+00,1.974551894462764356e-01
1.196158033191223495e+02,9.340020518254245729e+00,3.396614732838900697e-01,4.932023489883021750e-01,4.900070570130289127e+00,2.034978370492556976e-01
1.035424231629316694e+02,9.361303600183893181e+00,3.531820855955186689e-01,3.826448078630856342e-01,4.618669116694841037e+00,2.054124104338251322e-01
1.154784545874459383e+02,8.719300138092327401e+00,3.041266195222029900e-01,5.885399802271542580e-01,5.036460393105129718e+00,1.934705522957796131e-01
1.151550142337858489e+02,8.841826690424847257e+00,3.003398118408868722e-01,4.537517493734244400e-01,4.896362641202370192e+00,1.907934461591624387e-01
1.178853540012353420e+02,9.982661909983502113e+00,2.760405060834816293e-01,5.101080250630851687e-01,4.822389261674589811e+00,2.008387316733501460e-01
1.208489237729755956e+02,8.654069383111396618e+00,3.594237451421082308e-01,4.799730943521741677e-01,4.931326836181409767e+00,1.916007308881619298e-01
