"K_basis_1","K_basis_2","K_basis_3","K_basis_4","K_basis_5","K_basis_6","K_basis_7","K_basis_8","K_basis_9","K_basis_10","K_basis_11","K_basis_12","K_basis_13","K_basis_14","K_basis_15"
4.76523025022361e-13,-5.60175519264949e-14,1.11263074819619e-13,-1.26133350006452e-14,2.65495230836693e-14,-3.06123824548026e-15,2.17712517845223e-14,-7.88915709717241e-15,-5.87158789604498e-14,4.47101953754523e-14,2.41622288604332e-14,-1.50955132307099e-14,6.25045075555815e-15,-2.29220319951698e-14,2.64182551405511e-14
-1.71934482709737,0.00322528300903009,-0.00649899164118879,-0.000255370505962352,0.00217902540253486,-0.000677921811872744,-0.000417379544078483,-0.000228674859824936,0.000280501154996354,-4.77415181001009e-05,-0.000107691201957654,-0.000139689390396078,4.69923655362321e-05,6.32892930049213e-05,1.09127299786078e-05
-5.62272904642827e-07,-9.62784027372909e-08,-1.00608554418304e-08,1.60152094131199e-07,1.68694467068927e-07,1.60844356370743e-07,7.02897861440384e-08,1.14598481554337e-09,-2.2092182506672e-08,3.16953500006601e-08,-1.9763921161756e-08,-3.58026397193237e-08,-1.23488140195176e-08,-2.94644573108172e-09,1.77115426529949e-09
2.92000677226991e-07,8.45367449366472e-08,1.1550427786422e-07,5.76361887229109e-08,-3.46211519737152e-07,-1.67063429175625e-07,-1.21589494799248e-07,-5.17963766746502e-08,-1.64422840830111e-08,-1.6962666512083e-08,1.52512084542972e-08,1.36944785247436e-09,-4.37399365801127e-08,5.87347646278273e-09,7.96043982212885e-09
3.96781021382154e-07,9.1088994828462e-08,1.02725076968202e-07,-4.16294927207939e-08,-2.59437013975306e-07,-1.32959704736568e-07,-1.04689233503869e-07,-1.47657059795209e-08,-2.07825345605526e-08,-2.45192898529968e-08,1.70555430484503e-08,3.99505003400269e-09,-2.71041542159886e-08,1.76815241461795e-09,7.0219368999082e-09
3.967810181164e-07,9.10889976834776e-08,1.02725075011139e-07,-4.16294896542468e-08,-2.59437014687152e-07,-1.32959704107389e-07,-1.04689232836739e-07,-1.47657062762738e-08,-2.07825339699561e-08,-2.45192898147123e-08,1.7055543811932e-08,3.99505047397178e-09,-2.71041544450243e-08,1.76815204946495e-09,7.02193733025149e-09
2.41554462316793e-07,-3.14950714122438e-09,1.15616169973232e-07,-1.6600819694081e-07,-2.92869503127451e-07,-1.63665499990286e-07,-1.21384123712946e-07,3.51615832919124e-09,-2.08067636267411e-08,-2.26604201699296e-08,2.41188233263653e-08,7.2825747399358e-09,-3.23094429154459e-08,-4.40408428732807e-09,2.98054908377678e-09
-6.37578698109014e-07,-2.40921748586161e-07,-1.04756149965698e-09,-1.25294653662659e-07,2.1581153640305e-07,1.79628964209362e-07,8.98130486181498e-08,-4.06835749390074e-08,4.53866228823588e-09,2.82711624459682e-08,3.23215933082176e-08,2.2594862305535e-08,7.00612253522296e-09,-4.8154309513292e-09,-6.12611757228791e-09
-5.61779277504028e-07,-7.73174871151537e-08,1.11778809173843e-08,2.40826252805486e-07,3.52811125697776e-08,9.10997997305165e-08,3.43340195923521e-08,-4.09921839675756e-08,-1.81735163811122e-08,3.69507083217287e-08,-1.91850320210924e-08,-3.86036796821804e-08,-3.62880352743581e-08,1.67173246120844e-09,2.43201623795838e-09
2.92493540030218e-07,1.03496011676461e-07,1.36743375640843e-07,1.38311360153351e-07,-4.79621476406423e-07,-2.36807952580495e-07,-1.57541752240732e-07,-9.39337097604707e-08,-1.25168753805765e-08,-1.17095617703703e-08,1.5824878709829e-08,-1.43466266407518e-09,-6.76747530827049e-08,1.04878319554713e-08,8.61990307679546e-09
5.82616538920941e-07,1.54892029075496e-07,5.3715767142177e-08,-7.47845890610429e-08,-3.10206944450418e-07,-2.08347052140455e-07,-8.69609271830138e-08,-1.01343793639059e-08,-1.35586710092921e-08,-3.48890358487111e-08,2.70007531657393e-08,-4.48681653031305e-09,-3.12307335975684e-08,3.57156785229622e-09,4.41347634207476e-09
5.82616539364547e-07,1.54892028826393e-07,5.37157674171534e-08,-7.47845891043685e-08,-3.10206944353016e-07,-2.08347052267178e-07,-8.69609271241866e-08,-1.01343793815725e-08,-1.35586709882562e-08,-3.48890357523931e-08,2.70007530570718e-08,-4.48681650547655e-09,-3.12307335060737e-08,3.57156789206907e-09,4.41347633788916e-09
1.95932899816323e-07,-6.78196311023567e-08,1.33232708377692e-07,-2.91429279917825e-07,-3.74744534804938e-07,-2.31065702076564e-07,-1.54348682694907e-07,1.90843615384309e-08,-2.33058214853257e-08,-2.4754661268867e-08,3.80026165266019e-08,1.18412361271243e-08,-4.45483165805597e-08,-9.32703996266112e-09,7.69981527383489e-12
-6.83200621614278e-07,-3.05591507047253e-07,1.65673669428062e-08,-2.50715305231796e-07,1.3394138059124e-07,1.12223016585375e-07,5.68546285482335e-08,-2.51205215866974e-08,2.04058403325504e-09,2.61744634113178e-08,4.62047232513401e-08,2.71482960047616e-08,-5.23475702956946e-09,-9.73939969013316e-09,-9.10051802580634e-09
-1.71934419160546,0.00322528076566381,-0.00649888504021236,-0.000255620459747826,0.00217895680371283,-0.000678106733350677,-0.000417357835741389,-0.000228719987338462,0.000280464524463609,-4.76904450393647e-05,-0.000107629390224027,-0.000139674188231155,4.69687254242009e-05,6.32203405853052e-05,1.08783199853421e-05
-1.719345091307,0.00322517209458107,-0.00649911754834709,-0.000255421887884641,0.00217939999622153,-0.00067773567630269,-0.000417225111588516,-0.000228681385414057,0.000280473225988745,-4.77218293521581e-05,-0.000107626331211491,-0.000139707307516785,4.70529515463076e-05,6.32130773083945e-05,1.08631602939587e-05
-1.71934507841713,0.00322518324911368,-0.00649914350179461,-0.000255523427590164,0.00217952254090722,-0.000677666609755047,-0.000417202684852341,-0.000228607551868084,0.000280482471921294,-4.76566180133815e-05,-0.000107658629186707,-0.00013971008714753,4.70906323259116e-05,6.3182431304972e-05,1.08602071597287e-05
-1.71934420525159,0.00322525276796276,-0.00649887931700257,-0.000255675641232869,0.00217899932729192,-0.000678071114948562,-0.000417343168312416,-0.000228658508777282,0.000280460651331951,-4.77200328592435e-05,-0.000107617514495178,-0.000139674627968178,4.70294100265766e-05,6.32535414465589e-05,1.08793156736889e-05
-1.7193451171749,0.00322514975935099,-0.00649901959451061,-0.000255306923287767,0.00217929150021065,-0.000677785694197601,-0.000417227673017683,-0.0002286536852841,0.000280471068790144,-4.7681583610321e-05,-0.000107626183857446,-0.000139698919970059,4.70001771160651e-05,6.31767602313884e-05,1.08319688043517e-05
-1.71934540202041,0.00322508428188982,-0.00649899395130252,-0.000255286561949528,0.00217941420576388,-0.000677707559328031,-0.000417266556926169,-0.000228730252195671,0.000280484446783742,-4.76336155088872e-05,-0.000107677275340353,-0.000139696298958731,4.70018927521767e-05,6.31864514285503e-05,1.0863468091688e-05
-1.7193451171749,0.00322514975935099,-0.00649901959451063,-0.000255306923287772,0.00217929150021065,-0.00067778569419761,-0.000417227673017649,-0.000228653685284104,0.000280471068790149,-4.76815836102863e-05,-0.000107626183857464,-0.000139698919970053,4.70001771160784e-05,6.31767602313805e-05,1.08319688043464e-05
-1.71934540202041,0.0032250842818898,-0.00649899395130248,-0.000255286561949485,0.00217941420576377,-0.000677707559328025,-0.000417266556926094,-0.000228730252195605,0.000280484446783697,-4.76336155089111e-05,-0.000107677275340349,-0.000139696298958718,4.70018927521556e-05,6.31864514285517e-05,1.08634680916512e-05
-1.71934505220435,0.00322525744655329,-0.00649909123093898,-0.000255236668331553,0.00217936108124599,-0.000677788269245817,-0.000417240356064659,-0.000228688326179064,0.000280532156264021,-4.76697544683244e-05,-0.000107613240966445,-0.000139774225589432,4.70306095993243e-05,6.32481596593389e-05,1.09096116360604e-05
-1.71934500828656,0.00322533662453495,-0.00649911403809437,-0.000255071383052843,0.00217942795116096,-0.000677693135498861,-0.000417211454720301,-0.000228698854084919,0.000280522527397836,-4.76906572836321e-05,-0.000107674999016233,-0.000139687638652795,4.70270572340591e-05,6.31738864830815e-05,1.08864015750639e-05
-1.71934410395338,0.00322543209175053,-0.00649892423678705,-0.000255221308304171,0.00217888544518568,-0.000678168237140117,-0.000417404161078259,-0.000228661812972125,0.000280452948286253,-4.77718873906775e-05,-0.000107717470648917,-0.000139735120606331,4.70212502623592e-05,6.32445182708944e-05,1.08829036118776e-05
-1.71934405507898,0.00322550419531364,-0.00649896326143142,-0.00025522473528458,0.00217894374539581,-0.000678075934711727,-0.000417431795254618,-0.000228679683175874,0.000280441783662798,-4.77737776882495e-05,-0.000107703140626174,-0.000139759299754434,4.70086313527143e-05,6.32552733356073e-05,1.08742644808855e-05
-4.67353252463161e-07,-7.61880537461594e-08,3.89104258956976e-09,1.48761821312964e-07,1.11482295944894e-07,1.24409918654291e-07,4.89703337178957e-08,-4.73639429948859e-09,-2.14639845544795e-08,2.62889973823982e-08,-1.5873569136554e-08,-3.16723870862219e-08,-1.58362478180154e-08,-1.96672436490988e-09,2.45841365552774e-09
-3.72431004332397e-07,-5.60990699509556e-08,1.78431661846645e-08,1.37371840814164e-07,5.4271597182653e-08,8.79777332593188e-08,2.764991001146e-08,-1.06212819924447e-08,-2.08378856546641e-08,2.08788776620684e-08,-1.19842726931639e-08,-2.75422541890566e-08,-1.93246519867378e-08,-9.8565438895375e-10,3.14927677069537e-09
-2.77510945071503e-07,-3.6005771181832e-08,3.17988701964075e-08,1.25983126873102e-07,-2.94087133321208e-09,5.15475668358058e-08,6.33181500963327e-09,-1.65027774960624e-08,-2.02074244206619e-08,1.54750776734238e-08,-8.09923722664514e-09,-2.34127192879518e-08,-2.28143084655215e-08,-5.61878926641644e-12,3.83732282150211e-09
-1.82592373464939e-07,-1.59174422913837e-08,4.57438220421093e-08,1.14589527108936e-07,-6.01548744443762e-08,1.51064231392762e-08,-1.49845193457658e-08,-2.23872131490158e-08,-1.95852906770525e-08,1.00676961458328e-08,-4.19991190262753e-09,-1.92790870479226e-08,-2.63032762188158e-08,9.73718861584731e-10,4.51822561365515e-09
-8.76721884710195e-08,4.17244559092125e-09,5.96966646730682e-08,1.03199118676103e-07,-1.17367519718512e-07,-2.132575501502e-08,-3.63113284225892e-08,-2.82692103998126e-08,-1.89547030796951e-08,4.66073320113671e-09,-3.10176466995713e-10,-1.5149385734973e-08,-2.97900300868101e-08,1.95163371214269e-09,5.21175050798718e-09
7.24512456681555e-09,2.42636508310987e-08,7.36473600933803e-08,9.18082891041538e-08,-1.74576055404382e-07,-5.77588358178821e-08,-5.76277999498489e-08,-3.41576556049706e-08,-1.83245254888989e-08,-7.45049485761199e-10,3.5786340793369e-09,-1.10194089306844e-08,-3.32742229357951e-08,2.93013936158179e-09,5.89325917088219e-09
1.02164476118111e-07,4.43557485883189e-08,8.76001260051099e-08,8.04195760553284e-08,-2.31787082375052e-07,-9.41952022902326e-08,-7.89488731465955e-08,-4.00300649606931e-08,-1.76975057398358e-08,-6.14510938188449e-09,7.4662749667174e-09,-6.8943329891027e-09,-3.67614134837333e-08,3.91391047431181e-09,6.58379829644806e-09
1.97081560736156e-07,6.44476006440655e-08,1.01554935515664e-07,6.90317609144411e-08,-2.8899920206415e-07,-1.30629473373347e-07,-1.00266303029359e-07,-4.59122778831677e-08,-1.70685181753671e-08,-1.15553064161728e-08,1.13527158552196e-08,-2.76420539782167e-09,-4.02474408755106e-08,4.89007205332357e-09,7.2708264641658e-09
3.31626197752883e-07,8.75617347575064e-08,1.11636157825757e-07,2.54538228043055e-08,-3.22663073787544e-07,-1.59426310833874e-07,-1.17726695301749e-07,-4.09737445931616e-08,-1.70704430143653e-08,-1.9697640066535e-08,1.60463183076864e-08,3.0459612242692e-09,-3.84141563778822e-08,4.73095810881749e-09,7.58446257633674e-09
3.6582216348402e-07,8.97449333722505e-08,1.07455888225722e-07,-7.28053674098709e-09,-2.93721778356133e-07,-1.47880170154089e-07,-1.12000546480701e-07,-2.86014879848676e-08,-1.86477986483955e-08,-2.21768127242627e-08,1.66321667057682e-08,3.76576650982756e-09,-3.29794564831268e-08,3.35522928700649e-09,7.28865411944547e-09
3.87696877093673e-07,9.05113042219633e-08,1.03931582973068e-07,-3.22039061140842e-08,-2.68426474810785e-07,-1.36822680558455e-07,-1.06605839600198e-07,-1.85537541917626e-08,-2.01385556749435e-08,-2.38418847318445e-08,1.69046829524537e-08,3.98063610889015e-09,-2.8646139950742e-08,2.19484347315089e-09,7.08149757534602e-09
3.96781018493987e-07,9.1088997026857e-08,1.02725076074359e-07,-4.16294908732335e-08,-2.59437013832822e-07,-1.32959704444663e-07,-1.04689233385909e-07,-1.47657064351222e-08,-2.07825346065759e-08,-2.4519289803641e-08,1.7055543554159e-08,3.99505056667507e-09,-2.7104154204355e-08,1.76815218313893e-09,7.02193697625333e-09
